"";"C√≥digo.do.Produto";"Descri√.√.o.do.Produto...Servi√.o";"NCM.SH";"O.CST";"CFOP";"Unid..de.Medida";"Qtde.";"Valor.Unit√.rio..R..";"Valor.Total..R..";"nf_c4ai_id"
"1";"11";"Goiaba Vermelha";"8045010";" ";"5102";"KG";"615";"4,37";"2.688,86";"f3defaedb51531f9df533e6fa10da174344bfdf059c8e4b4fa624639f394a678"
"2";"11";"Goiaba Processada";"8045010";" ";"5102";"KG";"802";"2,56";"2.053,89";"f3defaedb51531f9df533e6fa10da174344bfdf059c8e4b4fa624639f394a678"
"3";"35";"Abacate";"8044000";" ";"5102";"KG";"625";"2,94";"1.838,68";"f3defaedb51531f9df533e6fa10da174344bfdf059c8e4b4fa624639f394a678"
"4";"31";"Limao";"8055000";" ";"5102";"KG";"150";"3,12";"468,31";"f3defaedb51531f9df533e6fa10da174344bfdf059c8e4b4fa624639f394a678"
"5";"20";"Abobrinha";"7099300";" ";"5102";"KG";"258";"2,11";"545,01";"f3defaedb51531f9df533e6fa10da174344bfdf059c8e4b4fa624639f394a678"
"6";"159";"COXA/SOBRECOXA SEM OSSO SEM PELE";"2071400";" ";"5102";"KG";"1416";"11,41";"16.156,56";"175efa38f7c5b9c484daff51932f732f2762e1dbd69480b140e71731e03b8677"
"7";"159";"COXA/SOBRECOXA SEM OSSO SEM PELE";"2071400";" ";"5102";"KG";"488";"11,41";"5.568,08";"7d3dc389a58a187790951ba77733ea21796e9fa2f87b838c7b99d05d98c80142"
"8";"26";"CEBOLA";"7122000";" ";"5102";"KG";"222";"2,72";"603,84";"ae84191494aa4b40d7bf050d9845098478d12d98198cf600d25081a7ac7b503c"
"9";"29";"BANANA NANICA";"8031000";" ";"5102";"KG";"2571";"2,44";"6.274,46";"ae84191494aa4b40d7bf050d9845098478d12d98198cf600d25081a7ac7b503c"
"10";"25";"BATATA";"7101000";" ";"5102";"KG";"500";"2,53";"1.265,00";"ae84191494aa4b40d7bf050d9845098478d12d98198cf600d25081a7ac7b503c"
"11";"159";"COXA/SOBRECOXA SEM OSSO SEM PELE";"2071400";" ";"5102";"KG";"246";"11,41";"2.806,86";"8f1601dbece2bc47f5a6587b046ff21180a6777bbaa3ec99b32e757dd0008760"
"12";"12";"Cenoura";"7061000";" ";"5102";"KG";"315";"1,94";"611,10";"60c46e02b0a97350336701936f07711f23614d5c88f57c4495ddaa8928f2f2ee"
"13";"07";"Beterraba";"7069000";" ";"5102";"KG";"50";"1,64";"82,49";"60c46e02b0a97350336701936f07711f23614d5c88f57c4495ddaa8928f2f2ee"
"14";"26";"Batata doce";"7019000";" ";"5102";"KG";"80";"2,01";"161,60";"60c46e02b0a97350336701936f07711f23614d5c88f57c4495ddaa8928f2f2ee"
"15";"05";"Beringela";"7093000";" ";"5102";"KG";"663";"2,32";"1.539,55";"60c46e02b0a97350336701936f07711f23614d5c88f57c4495ddaa8928f2f2ee"
"16";"03";"Repolho";"7049000";" ";"5102";"KG";"337";"1,11";"374,18";"60c46e02b0a97350336701936f07711f23614d5c88f57c4495ddaa8928f2f2ee"
"17";"24";"Tomate";"7020000";" ";"5102";"KG";"208";"2,99";"623,71";"60c46e02b0a97350336701936f07711f23614d5c88f57c4495ddaa8928f2f2ee"
"18";"23";"Pepino";"7070000";" ";"5102";"KG";"217";"1,99";"433,02";"60c46e02b0a97350336701936f07711f23614d5c88f57c4495ddaa8928f2f2ee"
"19";"09";"Abobora";"7099300";" ";"5102";"KG";"468";"1,78";"833,93";"60c46e02b0a97350336701936f07711f23614d5c88f57c4495ddaa8928f2f2ee"
"20";"21";"Maracuja";"8109015";" ";"5102";"KG";"2247";"4,30";"9.662,10";"60c46e02b0a97350336701936f07711f23614d5c88f57c4495ddaa8928f2f2ee"
"21";"191";"FRANGO-FILEZINHO-SASSAMI";"2071400";" ";"5102";"KG";"872";"11,40";"9.940,80";"0820e5ad97bc0822524c238056d790fff26060a2b07fa681bec70f6e8519b3e6"
"22";"29";"BANANA NANICA";"8031000";" ";"5102";"KG";"2643";"2,44";"6.450,38";"ae6287feb2fd450aade17d2703efcb34ab1f5415ad0e6722c447291ff2d7ed53"
"23";"25";"BATATA";"7101000";" ";"5102";"KG";"900";"2,53";"2.278,77";"ae6287feb2fd450aade17d2703efcb34ab1f5415ad0e6722c447291ff2d7ed53"
"24";"26";"CEBOLA";"7122000";" ";"5102";"KG";"278";"2,72";"757,52";"ae6287feb2fd450aade17d2703efcb34ab1f5415ad0e6722c447291ff2d7ed53"
"25";"12";"Cenoura";"7061000";" ";"5102";"KG";"625";"2,37";"1.481,25";"8ace5432a748b638d9ce5df3c043eab34c036038d3eb6181c06ef501408a5279"
